step,loss,grad_norm,learning_rate,num_tokens,completions_mean_length,completions_min_length,completions_max_length,completions_clipped_ratio,completions_mean_terminated_length,completions_min_terminated_length,completions_max_terminated_length,rewards_format_reward_func_mean,rewards_format_reward_func_std,rewards_correctness_reward_func_mean,rewards_correctness_reward_func_std,rewards_cosine_length_penalty_func_mean,rewards_cosine_length_penalty_func_std,rewards_intermediate_overlap_reward_func_mean,rewards_intermediate_overlap_reward_func_std,reward,reward_std,frac_reward_zero_std,completion_length,kl,clip_ratio_low_mean,clip_ratio_low_min,clip_ratio_high_mean,clip_ratio_high_max,clip_ratio_region_mean,epoch
62,8.940696716308594e-08,0.07173080742359161,1.9802207729556023e-06,210991.0,378.875,258.0,505.0,0.0,378.875,258.0,505.0,0.0,0.0,0.0,0.0,-0.6925400495529175,0.2966904044151306,0.0,0.0,-0.6925400495529175,0.17534208297729492,0.0,378.875,6.184060765690447e-05,0.0,0.0,0.0,0.0,0.0,0.016595289079229122
63,1.043081283569336e-07,0.07414168119430542,1.895195261000831e-06,213710.0,260.375,141.0,512.0,0.125,224.4285888671875,141.0,333.0,0.0,0.0,0.0,0.0,-0.3298942744731903,0.3757040202617645,0.0,0.0,-0.3298942744731903,0.2236749231815338,0.0,260.375,7.937147927350452e-05,0.0,0.0,0.0,0.0,0.0,0.016862955032119913
64,1.564621925354004e-07,0.09965938329696655,1.8109066104575023e-06,216603.0,277.125,222.0,333.0,0.0,277.125,222.0,333.0,0.0,0.0,0.0,0.0,-0.3398849070072174,0.23262637853622437,0.0,0.0,-0.3398849070072174,0.12833893299102783,0.0,277.125,0.00016808674888579844,0.0,0.0,0.0,0.0,0.0,0.017130620985010708
65,1.4156103134155273e-07,0.13975827395915985,1.7274575140626318e-06,220813.0,424.25,351.0,512.0,0.25,395.0,351.0,497.0,0.0,0.0,0.0,0.0,-0.8007774353027344,0.24618235230445862,0.0,0.0,-0.8007774949073792,0.2621680796146393,0.0,424.25,0.00018477966523278155,0.0,0.0,0.0,0.0,0.0,0.0173982869379015
66,7.450580596923828e-07,0.096308633685112,1.6449496416858285e-06,224239.0,309.75,201.0,512.0,0.125,280.8571472167969,201.0,409.0,0.0,0.0,0.0,0.0,-0.32290536165237427,0.31589508056640625,0.0,0.0,-0.3229053318500519,0.21737414598464966,0.0,309.75,0.0006047338983989903,0.0,0.0,0.0,0.0,0.0,0.017665952890792293
67,8.195638656616211e-08,0.09871780127286911,1.56348351646022e-06,227898.0,368.375,237.0,512.0,0.125,347.8571472167969,237.0,430.0,0.0,0.0,0.0,0.0,-0.6159965991973877,0.36025264859199524,0.0,0.0,-0.6159965991973877,0.38504329323768616,0.0,368.375,0.00012317341293055506,0.0,0.0,0.0,0.0,0.0,0.017933618843683084
68,2.2351741790771484e-08,0.09326882660388947,1.4831583923105e-06,230720.0,268.75,169.0,355.0,0.0,268.75,169.0,355.0,0.0,0.0,0.0,0.0,-0.39598017930984497,0.3332045376300812,0.0,0.0,-0.39598020911216736,0.18653863668441772,0.0,268.75,5.9074040336781763e-05,0.0,0.0,0.0,0.0,0.0,0.018201284796573874
69,2.682209014892578e-07,0.13224652409553528,1.4040721330273063e-06,234107.0,311.375,221.0,512.0,0.125,282.71429443359375,221.0,453.0,0.0,0.0,0.0,0.0,-0.4196051061153412,0.36701905727386475,0.0,0.0,-0.4196051061153412,0.28498929738998413,0.0,311.375,0.00021116026471190708,0.0,0.0,0.0,0.0,0.0,0.01846895074946467
70,2.8312206268310547e-07,0.13236775994300842,1.3263210930352737e-06,236866.0,235.375,130.0,472.0,0.0,235.375,130.0,472.0,0.0,0.0,0.0,0.0,-0.18373152613639832,0.3088572919368744,0.0,0.0,-0.18373152613639832,0.22052748501300812,0.0,235.375,0.0002719708600125159,0.0,0.0,0.0,0.0,0.0,0.01873661670235546
71,1.4528632164001465e-07,0.09173263609409332,1.2500000000000007e-06,240559.0,385.625,251.0,512.0,0.375,309.8000183105469,251.0,412.0,0.0,0.0,0.0,0.0,-0.6472461223602295,0.3733702003955841,0.0,0.0,-0.6472461223602295,0.3910864591598511,0.0,385.625,0.0001551977570670715,0.0,0.0,0.0,0.0,0.0,0.019004282655246254
